Name,Emissions Factor Data Source,Hotel Stay Emissions (kg CO2e/Night),Emissions Factor Update Year
Name,EmissionFactorDataSource,HotelStayEmssnInKgCo2eNight,EmissionFactorUpdateYear
Argentina - DEFRA 2021,"DEFRA. ""Conversion Factors 2021."" Last accessed October 25, 2021. https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2021",56,2021
Australia - DEFRA 2021,"DEFRA. ""Conversion Factors 2021."" Last accessed October 25, 2021. https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2021",42.6,2021
Austria - DEFRA 2021,"DEFRA. ""Conversion Factors 2021."" Last accessed October 25, 2021. https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2021",13.9,2021
Belgium - DEFRA 2021,"DEFRA. ""Conversion Factors 2021."" Last accessed October 25, 2021. https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2021",10.9,2021
Brazil - DEFRA 2021,"DEFRA. ""Conversion Factors 2021."" Last accessed October 25, 2021. https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2021",12.3,2021
Canada - DEFRA 2021,"DEFRA. ""Conversion Factors 2021."" Last accessed October 25, 2021. https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2021",16.1,2021
Chile - DEFRA 2021,"DEFRA. ""Conversion Factors 2021."" Last accessed October 25, 2021. https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2021",30.5,2021
China - DEFRA 2021,"DEFRA. ""Conversion Factors 2021."" Last accessed October 25, 2021. https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2021",62.9,2021
Colombia - DEFRA 2021,"DEFRA. ""Conversion Factors 2021."" Last accessed October 25, 2021. https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2021",13.5,2021
Costa Rica - DEFRA 2021,"DEFRA. ""Conversion Factors 2021."" Last accessed October 25, 2021. https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2021",7.5,2021
